TimeStamp; AccX(g); AccY(g); AccZ(g); GyrX(deg/s); GyrY(deg/s); GyrZ(deg/s); Lat; Long; VitGPS(km/h); Event
1668769389881;-0.28018627;-0.061504304;1.1197689;0.15946;4.9735355;-6.300875;43.78848491;4.831883793;7.5271015;0
1668769389892;-0.26310176;-0.059307724;1.0514307;-0.015540001;1.508535;-1.435875;43.78848491;4.831883793;7.5271015;0
1668769389902;0.12349673;-0.087375164;0.8344572;0.01946;1.333535;2.029125;43.78848491;4.831883793;7.5271015;0
1668769389912;0.10519189;-0.1867095;0.92256457;-1.03054;-2.446465;2.2741249;43.78848491;4.831883793;7.5271015;0
1668769389922;-0.5991788;-0.08102948;1.0607052;0.75446004;0.14353502;9.449125;43.78848491;4.831883793;7.5271015;0
1668769389933;-0.31264687;0.09201239;0.82396245;-0.33054;-9.446465;8.259126;43.78848491;4.831883793;7.5271015;0
1668769389942;0.39709327;-0.38489002;0.93647623;-2.01054;-5.386465;12.494124;43.78848491;4.831883793;7.5271015;0
1668769389952;0.11788326;-0.110317245;1.1815171;2.18946;-1.1514649;15.5391245;43.78848491;4.831883793;7.5271015;0
1668769389962;0.5247391;-0.029531827;1.0502104;1.24446;-8.711465;12.669125;43.78848491;4.831883793;7.5271015;0
1668769389972;-0.089571744;-0.20013306;0.82859963;-0.40054;-5.8764653;17.429125;43.78848491;4.831883793;7.5271015;0
1668769389982;0.4254048;-0.24626127;0.93574405;0.50946;-4.336465;14.244125;43.78848491;4.831883793;7.5271015;0
1668769389992;0.33192798;-0.03124028;0.8305522;2.46946;-3.6014647;15.5391245;43.78848491;4.831883793;7.5271015;0
1668769390003;-0.13936093;-0.21355662;1.1143994;1.06946;-4.196465;7.839125;43.78848491;4.831883793;7.5271015;0
1668769390012;0.31142655;-0.10519189;1.2649873;3.0994601;-9.131465;8.574125;43.78848491;4.831883793;7.5271015;0
1668769390022;-0.0871311;-0.13667622;0.98992646;3.37946;-1.256465;9.519125;43.78848491;4.831883793;7.5271015;0
1668769390032;0.4114931;-0.06540934;0.76636314;4.18446;-3.321465;9.799125;43.78848491;4.831883793;7.5271015;0
